feature,mutual_info_score
CNTSCHID,0.19082973205717213
CNTSTUID,0.19047364838837222
COBN_M,0.1667799584065195
COBN_S,0.15285408380013088
VER_DAT,0.14956325702796835
REGION,0.14436558410721378
PROGN,0.137872745628429
NatCen,0.13477088783673707
SUBNATIO,0.13161329860711657
CNTRYID,0.13086455251629658
COBN_F,0.13042841565254015
CNT,0.13020165449870547
LANGTEST_COG,0.10547858530796539
STRATUM,0.10519167591263034
LANGN,0.09778937874111815
ST250D06JA,0.0703088159887546
OECD_1.0,0.06556865379550958
OECD_0.0,0.06556865379550958
OCOD1,0.062101096204820294
ST250D07JA,0.04672886237913643
OCOD2,0.04305246528385087
OCOD3,0.04075839094460365
ST251D08JA,0.03810711197588246
ST251D09JA,0.02546109438993227
Option_ICTQ_0.0,0.023865465989324708
Option_ICTQ_1.0,0.023865465989324708
W_FSTURWT69,0.022462435225203414
W_FSTURWT57,0.02193018010925929
W_FSTURWT9,0.02190061696019807
W_FSTURWT2,0.021283625287974672
W_FSTUWT,0.021221360448666182
SENWT,0.020722470784644287
W_FSTURWT22,0.020553535370376963
W_FSTURWT36,0.019977427533127035
W_FSTURWT72,0.01995889016868091
W_FSTURWT7,0.01973317175708278
W_FSTURWT63,0.01963277541956998
W_FSTURWT68,0.019408880932690664
W_FSTURWT23,0.019033974020540967
BOOKID,0.018819619062635518
W_FSTURWT49,0.018680078768015917
W_FSTURWT62,0.01861644336175239
W_FSTURWT41,0.018566023051109326
W_FSTURWT73,0.018539234704453733
W_FSTURWT12,0.01828246292970981
W_FSTURWT15,0.01786555016360225
W_FSTURWT19,0.017796333594418456
W_FSTURWT26,0.017791291644551954
W_FSTURWT50,0.017707191240885933
W_FSTURWT32,0.01768489825717534
W_FSTURWT60,0.017681416087911295
W_FSTURWT27,0.017664479173435055
W_FSTURWT6,0.017662124856546946
W_FSTURWT34,0.017322951250434926
W_FSTURWT14,0.01722425519605686
W_FSTURWT56,0.017067138495129086
W_FSTURWT51,0.016917015768184385
W_FSTURWT70,0.01682839818751969
W_FSTURWT43,0.01678752979250664
W_FSTURWT38,0.01675233213748939
W_FSTURWT3,0.01671009215866448
W_FSTURWT25,0.016700546564953456
W_FSTURWT24,0.01663355044544268
W_FSTURWT13,0.016469094493531067
W_FSTURWT39,0.01635493335773397
W_FSTURWT52,0.01623472021650052
W_FSTURWT59,0.016166500993020527
W_FSTURWT67,0.015989915927042908
W_FSTURWT29,0.015951181697515082
W_FSTURWT5,0.015867781321634133
W_FSTURWT21,0.015751442105282898
W_FSTURWT18,0.015559457644602759
W_FSTURWT61,0.01555131470862392
W_FSTURWT47,0.015382060995476898
W_FSTURWT17,0.015345898871038877
W_FSTURWT78,0.01531190743812072
W_FSTURWT65,0.015301051751700712
W_FSTURWT76,0.015213118167922701
W_FSTURWT64,0.015113118135247738
W_FSTURWT44,0.015091048490106118
W_FSTURWT77,0.01504970377176651
ST330D10WA,0.015010458180106934
W_FSTURWT46,0.014965163675510595
W_FSTURWT71,0.01495754777304903
W_FSTURWT48,0.01477562263464538
W_FSTURWT74,0.014764504449002125
W_FSTURWT79,0.014658375288550296
W_FSTURWT75,0.014493540519632475
W_FSTURWT80,0.0144136578131695
W_FSTURWT30,0.01416746473011088
W_FSTURWT37,0.014133519571670305
W_FSTURWT58,0.01412688871124601
W_FSTURWT31,0.014115731407225773
W_FSTURWT53,0.013971193948430383
W_FSTURWT33,0.013954569809950357
W_FSTURWT40,0.013871014605100207
W_FSTURWT66,0.013812844085411946
W_FSTURWT8,0.013541284138214316
W_FSTURWT16,0.013230114677411642
W_FSTURWT45,0.013150074734814332
W_FSTURWT20,0.013034815353384133
W_FSTURWT1,0.012989817094172018
W_FSTURWT28,0.012966216349557413
W_FSTURWT10,0.012910063123191762
W_FSTURWT55,0.012449746635886605
W_FSTURWT35,0.01239802571259041
Option_FL_0.0,0.012339244174627728
Option_FL_1.0,0.012339244174627728
W_FSTURWT4,0.012163917234741639
ADMINMODE_2.0,0.011940090054284092
ADMINMODE_1.0,0.011940090054284092
W_FSTURWT11,0.011488073507139873
W_FSTURWT54,0.011184550362496992
W_FSTURWT42,0.010960403658541118
Option_UH_1.0,0.010946903161738852
Option_UH_0.0,0.010946903161738852
ST001D01T_8.0,0.010018291661771705
Option_TQ_0.0,0.00948053114044689
Option_TQ_1.0,0.00948053114044689
ST001D01T_7.0,0.007671638169968631
ST001D01T_10.0,0.0073568332339444265
ST001D01T_9.0,0.005074894014260423
Option_WBQ_1.0,0.005007864636988213
Option_WBQ_0.0,0.005007864636988213
ST001D01T_11.0,0.004523335080392377
Option_CT_0.0,0.002978976297524527
Option_CT_1.0,0.002978976297524527
Option_PQ_0.0,0.0026939721202958733
Option_PQ_1.0,0.0026939721202958733
AGE,0.002548791323386812
ST001D01T_98.0,0.002108184402782376
WVARSTRR,0.0017000452463982185
UNIT_3.0,0.0005182362199325219
ST001D01T_12.0,0.0003869903160637067
ST001D01T_96.0,0.0003033694800204101
ST001D01T_99.0,3.219646771412954e-15
ST001D01T_13.0,0.0
UNIT_2.0,0.0
UNIT_1.0,0.0
