VAR;COUNT
ST250Q05JA;8
ST006Q01JA;8
ST006Q02JA;8
ST006Q03JA;8
ST006Q04JA;8
ST006Q05JA;8
ST008Q01JA;8
ST008Q02JA;8
ST008Q03JA;8
ST008Q04JA;8
ST008Q05JA;8
ST022Q01TA;8
ST261Q01JA;8
ST261Q02JA;8
ST261Q03JA;8
ST261Q04JA;8
ST261Q05JA;8
ST261Q06JA;8
ST261Q07JA;8
ST261Q08JA;8
ST261Q09JA;8
ST261Q10JA;8
ST261Q11JA;8
ST266Q01JA;8
ST266Q02JA;8
ST266Q03JA;8
ST266Q04JA;8
ST266Q05JA;8
ST297Q01JA;8
ST297Q03JA;8
ST297Q05JA;8
ST297Q06JA;8
ST297Q07JA;8
ST297Q09JA;8
FL150Q01TA;8
FL150Q02TA;8
FL150Q03TA;8
WB178Q01HA;8
WB178Q02HA;8
WB178Q03HA;8
WB178Q04HA;8
WB178Q05HA;8
WB178Q06HA;8
WB178Q07HA;8
PA001Q01TA;8
PA001Q02TA;8
PA001Q03TA;8
PA197Q01WA;8
PA197Q02WA;8
PA197Q03WA;8
PA197Q04WA;8
PA197Q05WA;8
PA009Q01NA;8
PA009Q02NA;8
PA009Q03NA;8
PA009Q04NA;8
PA009Q05NA;8
PA009Q06NA;8
PA009Q07NA;8
PA009Q08NA;8
PA009Q09NA;8
PA009Q10NA;8
PA009Q11NA;8
PA018Q01NA;8
PA018Q02NA;8
PA018Q03NA;8
PA177Q01HA;8
PA177Q02HA;8
PA177Q03HA;8
PA177Q04HA;8
PA177Q05HA;8
PA177Q06HA;8
PA177Q07HA;8
PA177Q08HA;8
PA175Q01HA;8
PA175Q02HA;8
PA175Q03JA;8
PA175Q04JA;8
REPEAT;8
MISSSC;8
SKIPPING;8
MATHPREF;8
MATHEASE;8
MATHMOT;8
SISCO;8
ST019AQ01T;9
ST019BQ01T;9
ST019CQ01T;9
ST127Q01TA;9
ST127Q02TA;9
ST127Q03TA;9
ST260Q01JA;9
ST260Q02JA;9
ST260Q03JA;9
ST327Q01JA;9
ST327Q02JA;9
ST327Q03JA;9
ST327Q04JA;9
ST327Q05JA;9
ST327Q06JA;9
ST327Q07JA;9
ST327Q08JA;9
ST330Q01WA;9
ST330Q02WA;9
ST330Q03WA;9
ST330Q04WA;9
ST330Q05WA;9
ST330Q06WA;9
ST330Q07WA;9
ST330Q08WA;9
ST330Q09WA;9
ST330Q11WA;9
ST350Q01JA;9
FL164Q01HA;9
FL164Q02HA;9
FL164Q03HA;9
FL164Q04HA;9
FL164Q05HA;9
FL164Q06HA;9
FL164Q07HA;9
FL164Q08HA;9
FL164Q09HA;9
FL164Q10HA;9
FL164Q11HA;9
FL164Q12HA;9
FL164Q13HA;9
FL164Q14HA;9
FL164Q15HA;9
FL164Q16HA;9
FL166Q01HA;9
FL166Q02HA;9
FL166Q03HA;9
FL166Q05HA;9
FL166Q06HA;9
FL166Q07HA;9
FL161Q01HA;9
FL161Q02HA;9
FL161Q03HA;9
WB160Q01HA;9
WB163Q01HA;9
WB163Q02HA;9
WB163Q03HA;9
WB163Q04HA;9
WB163Q05HA;9
WB163Q06HA;9
WB163Q07HA;9
WB163Q08HA;9
PA008Q01TA;9
PA008Q02TA;9
PA008Q03TA;9
PA008Q04TA;9
PA008Q05TA;9
PA008Q06NA;9
PA008Q07NA;9
PA008Q08NA;9
PA008Q09NA;9
PA008Q10NA;9
PA005Q01TA;9
PA183Q01JA;9
PA183Q02JA;9
PA183Q03JA;9
PA183Q04JA;9
PA183Q05JA;9
PA183Q06JA;9
PA183Q07JA;9
PA183Q08JA;9
IMMIG;9
TARDYSD;9
ST251Q01JA;10
